activity,method,feature_set,routing_type,n_windows,MAE,RMSE,median_absolute_error,p95_absolute_error,catastrophic_error_rate_20bpm
rest-4,learned_router,motion_only,hard_gate,280,9.627882347057827,15.862280950778993,4.182532447287951,37.9361553168925,0.17142857142857143
rest-4,classical_expert,NA,NA,280,11.207423121871738,19.069568332331094,4.240823136800003,40.986382770827234,0.21071428571428572
rest-5,learned_router,motion_quality,hard_gate,338,11.562271084154332,19.845899319246886,4.7788090255999975,52.48048419323345,0.1863905325443787
rest-5,learned_router,quality_only,hard_gate,338,11.57352777646494,20.022407370239844,4.824178275832672,52.48048419323345,0.1834319526627219
rest-5,classical_expert,NA,NA,338,12.166400171486531,21.745401421307108,4.309252865326464,57.997106556995256,0.20710059171597633
rest-5,learned_router,quality_only,soft_gate,338,12.207314367960375,20.36357298427334,5.117006476600238,47.96255049056646,0.21597633136094674
rest-5,learned_router,motion_quality,soft_gate,338,12.22046600046193,20.405277387030868,5.106313875829841,47.7638450994723,0.21005917159763313
rest-5,learned_router,motion_only,soft_gate,338,12.663210882637944,20.911639280593242,5.2636725079957,48.7962697538399,0.21301775147928995
rest-5,learned_router,motion_only,hard_gate,338,12.895466954297582,21.766893014691444,4.618346961042299,56.4116269953382,0.22189349112426035
rest-5,foundation_expert,NA,NA,338,13.845080472669817,22.002418480094857,6.466728297670535,55.966038777907436,0.23964497041420119
running,learned_router,motion_quality,hard_gate,277,26.90550073312895,31.405627008812196,25.70650064001589,53.5295506555026,0.631768953068592
running,foundation_expert,NA,NA,277,27.57993973349586,31.722166089750008,27.273969312357252,53.2718443403941,0.6678700361010831
running,learned_router,motion_only,hard_gate,277,27.57993973349586,31.722166089750008,27.273969312357252,53.2718443403941,0.6678700361010831
running,learned_router,quality_only,hard_gate,277,28.16949038006858,33.06336981036597,26.71740729244999,56.08347088063535,0.6425992779783394
running,learned_router,motion_quality,soft_gate,277,30.648451414752067,37.19966358753428,24.850645223533775,64.1433851838851,0.5631768953068592
running,learned_router,motion_only,soft_gate,277,31.089341402289474,37.984821317066185,25.27391325604961,65.51254481780688,0.5595667870036101
running,learned_router,quality_only,soft_gate,277,31.588572789572883,39.11003526292927,24.228138148957868,67.11921600081192,0.5595667870036101
running,classical_expert,NA,NA,277,40.42880373922741,53.516486307503705,24.494272483563634,91.59378036926665,0.5487364620938628
screen-reading,learned_router,motion_quality,soft_gate,428,2.3657627471707516,3.2681092680334025,1.7560154417654132,6.680480757377857,0.0
screen-reading,learned_router,quality_only,soft_gate,428,2.383613490230932,3.296316155206302,1.7651975992731401,6.867714321740902,0.0
screen-reading,learned_router,motion_only,soft_gate,428,2.3892865367266083,3.325015697004971,1.7451322205876636,7.236731369283446,0.0
screen-reading,classical_expert,NA,NA,428,3.1300843726276644,4.6821679706999255,1.9143765039235277,9.848167303059286,0.002336448598130841
screen-reading,learned_router,motion_quality,hard_gate,428,3.1403985447747256,4.2883346073188156,2.2360740447833365,9.130089679492814,0.0
screen-reading,learned_router,motion_only,hard_gate,428,3.1957866324223634,4.662637355165872,1.9656524824682862,9.848167303059286,0.0
screen-reading,foundation_expert,NA,NA,428,3.311220963032446,4.217798000435041,2.831955508783782,8.32716956105028,0.0
screen-reading,learned_router,quality_only,hard_gate,428,3.3531676980047633,4.532571082802812,2.528403228383624,9.291828078991987,0.0
ssst-prep,classical_expert,NA,NA,54,3.5310694877982507,5.074487150731359,2.432411738500001,11.211188277714514,0.0
ssst-prep,learned_router,motion_quality,soft_gate,54,3.984619526931287,5.870019537132839,2.424359506386452,13.085334052194142,0.0
ssst-prep,learned_router,motion_only,soft_gate,54,4.007815757327573,5.9173253002678425,2.651370499057606,13.244313154345976,0.0
ssst-prep,learned_router,quality_only,soft_gate,54,4.061204802661443,5.9437184358413715,2.4300483712130756,13.186805977791044,0.0
ssst-prep,learned_router,motion_only,hard_gate,54,4.174094747183979,5.733839269301057,2.875131151381808,11.273923444960001,0.0
ssst-prep,learned_router,motion_quality,hard_gate,54,4.594310390944124,6.028498539953214,3.1253405084984607,11.503116678066425,0.0
ssst-prep,learned_router,quality_only,hard_gate,54,4.684384316083909,6.067598858547228,3.2424657970357984,11.503116678066425,0.0
ssst-prep,foundation_expert,NA,NA,54,6.1236538547217645,7.864930079876363,5.072319423835772,17.150081875589684,0.037037037037037035
ssst-sing,foundation_expert,NA,NA,59,9.933052242259109,13.032439023980519,7.083762516246722,23.296904357813858,0.1864406779661017
ssst-sing,learned_router,motion_only,soft_gate,59,10.409792684032938,13.949611833653703,8.303072421978186,24.890952771727477,0.1864406779661017
ssst-sing,learned_router,quality_only,soft_gate,59,10.440019501235883,13.863823163798513,8.350953974602419,25.508823276542202,0.1864406779661017
ssst-sing,learned_router,motion_quality,soft_gate,59,10.447946421166106,13.903252613888059,8.698740893164,25.6594748770736,0.1864406779661017
ssst-sing,learned_router,motion_quality,hard_gate,59,11.125871236786356,14.55705016531889,9.887844077374623,28.104485776800004,0.2033898305084746
ssst-sing,learned_router,quality_only,hard_gate,59,11.226321059899593,14.580913671052198,9.887844077374623,28.104485776800004,0.2033898305084746
ssst-sing,classical_expert,NA,NA,59,11.396150159296031,16.340405600981963,7.105459985028574,29.968957127278948,0.22033898305084745
ssst-sing,learned_router,motion_only,hard_gate,59,12.213156727849059,16.986157952128387,7.239376689099998,29.968957127278948,0.2542372881355932
standing,learned_router,motion_only,hard_gate,429,4.628187611058855,7.985937007886567,2.5418706744714257,15.231816941726683,0.03496503496503497
standing,learned_router,motion_quality,hard_gate,429,4.997980364419348,8.272375046389657,2.7552674230000065,14.915330602252235,0.027972027972027972
standing,learned_router,quality_only,soft_gate,429,5.276050836721119,7.990706078211712,3.4131748607879047,17.209806050383246,0.04428904428904429
standing,learned_router,motion_quality,soft_gate,429,5.288454966058714,8.178955538674302,3.3925881839385283,20.00321538554162,0.05128205128205128
standing,learned_router,motion_only,soft_gate,429,5.58808221265356,8.862861165212662,3.3214421573163975,24.537064792676457,0.06993006993006994
standing,learned_router,quality_only,hard_gate,429,5.7789490760387014,8.246719706575137,3.5367281581000043,15.356364522522288,0.023310023310023312
standing,classical_expert,NA,NA,429,6.216483430405665,12.669974565252636,2.3983842464470513,40.43432828704615,0.09090909090909091
standing,foundation_expert,NA,NA,429,6.2860564482944215,8.316462434436062,4.578579898099548,15.715936004074058,0.027972027972027972
tsst-prep,learned_router,quality_only,soft_gate,430,3.598311172968183,5.334521525098029,2.086381710605366,11.653309797559748,0.0069767441860465115
tsst-prep,learned_router,motion_quality,soft_gate,430,3.6091480765779833,5.353898016237271,2.0602197615828857,11.600774409805028,0.0069767441860465115
tsst-prep,learned_router,motion_only,soft_gate,430,3.712126410001085,5.5494911753716405,2.1510166622830695,12.744068061580048,0.0069767441860465115
tsst-prep,learned_router,motion_quality,hard_gate,430,4.119491627714696,5.86592957563745,2.790689998000005,12.945813341962753,0.009302325581395349
tsst-prep,learned_router,quality_only,hard_gate,430,4.269990880292346,6.072164497084602,2.816758721347753,13.07860268749057,0.01627906976744186
tsst-prep,foundation_expert,NA,NA,430,4.426967991593948,6.217274000743517,2.8204169746050596,13.784244595573506,0.009302325581395349
tsst-prep,learned_router,motion_only,hard_gate,430,4.884519199298375,7.564008278959502,2.790689998000005,18.51081498845722,0.04186046511627907
tsst-prep,classical_expert,NA,NA,430,4.923936854530837,7.690780724603386,2.7814337087,19.36037749315226,0.044186046511627906
tsst-speech,foundation_expert,NA,NA,435,5.195081806246757,7.371506888823885,3.652633345009747,16.162776139493403,0.0367816091954023
tsst-speech,learned_router,quality_only,hard_gate,435,5.8880233312718255,8.258166168627683,4.054773064200006,18.405637479249467,0.0367816091954023
tsst-speech,learned_router,quality_only,soft_gate,435,5.9867830639891055,8.817303472673002,3.9521573341666,18.606964866450486,0.04597701149425287
tsst-speech,learned_router,motion_quality,soft_gate,435,6.108418040832662,9.031787154428303,4.021811702435926,19.695583859706197,0.04827586206896552
tsst-speech,learned_router,motion_only,soft_gate,435,6.328426109487812,9.45508000660504,3.8755853733063645,20.969998100650493,0.05517241379310345
tsst-speech,learned_router,motion_quality,hard_gate,435,6.436595679774432,9.610025055729272,4.06082999286464,20.185469113632504,0.052873563218390804
tsst-speech,learned_router,motion_only,hard_gate,435,8.084207988419287,12.753188029446388,4.198854338655281,28.249854308126515,0.11494252873563218
tsst-speech,classical_expert,NA,NA,435,8.392563526075078,13.071743857393132,4.509777089247365,28.7156508775785,0.11954022988505747
walking,learned_router,quality_only,hard_gate,278,16.187166788062314,20.633196666381448,13.825076173176257,46.801582410963476,0.29856115107913667
walking,learned_router,motion_quality,hard_gate,278,16.369004072596347,20.377512076803946,14.910308981913808,42.30763931253711,0.31654676258992803
walking,learned_router,quality_only,soft_gate,278,16.41413234708297,20.212009575486952,13.693622200535359,35.39995950917023,0.37050359712230213
walking,foundation_expert,NA,NA,278,16.48371650129635,19.692555176103543,15.833833099051837,36.47473335159425,0.3273381294964029
walking,learned_router,motion_quality,soft_gate,278,16.545849762688214,20.213009022505226,14.107086979536419,35.597095463716265,0.37410071942446044
walking,learned_router,motion_only,soft_gate,278,16.80237137264039,20.525654219502446,13.836684811881987,35.79237889036893,0.38848920863309355
walking,learned_router,motion_only,hard_gate,278,18.180325333280162,22.330350447764076,16.00991083747622,46.558990267273835,0.3669064748201439
walking,classical_expert,NA,NA,278,18.597079151390833,25.68580559459762,10.601917207807134,49.920446325684445,0.37410071942446044
