dataset,model_name,preprocessing_mode,inversion,normalization_strategy,probe_type,regressor_type,participant_id,MAE,RMSE,median_absolute_error,p95_absolute_error,catastrophic_error_rate_20bpm,n_windows,n_participants
GalaxyPPG,papagei,harmonized,True,per_window_zscore,NA,random_forest,P17,8.12737966546993,11.73836073413708,6.009186044894008,22.813058881229168,0.06569343065693431,1507,1
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,NA,random_forest,P17,8.12737966546993,11.73836073413708,6.009186044894008,22.813058881229168,0.06569343065693431,1507,1
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,P07,8.224318139348037,15.857906791656594,3.994303160514285,29.835164835159997,0.08993288590604027,1490,1
GalaxyPPG,pulseppg,model_faithful,True,none,ridge,ridge,P07,8.266929265754587,12.530158065717513,5.139034834087113,29.117736007993496,0.09395973154362416,1490,1
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,ridge,ridge,P07,8.267518073238236,12.531691909115755,5.146861451836713,29.13768725616244,0.09395973154362416,1490,1
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,ridge,ridge,P07,8.267518073238236,12.531691909115755,5.146861451836713,29.13768725616244,0.09395973154362416,1490,1
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,ridge,ridge,P07,8.271275187074249,12.538300484547177,5.134232130229691,29.128110077207367,0.09395973154362416,1490,1
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,ridge,ridge,P07,8.2748712509873,12.540103652708279,5.1371702770855485,29.15311045867709,0.09463087248322148,1490,1
GalaxyPPG,pulseppg,model_faithful,True,none,linear,linear,P07,8.34936924643853,12.623384521205738,5.268015646251563,29.85480960924098,0.09395973154362416,1490,1
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,linear,linear,P07,8.349926554284277,12.62513685908409,5.25915028980625,29.87144092637964,0.09395973154362416,1490,1
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,linear,linear,P07,8.349926554284277,12.62513685908409,5.25915028980625,29.87144092637964,0.09395973154362416,1490,1
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,linear,linear,P07,8.353497038656766,12.631939278014308,5.260987156637697,29.869013747987154,0.09328859060402685,1490,1
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,linear,linear,P07,8.359154461063987,12.635341094307611,5.302893427714061,29.901832619494883,0.09395973154362416,1490,1
GalaxyPPG,papagei,harmonized,True,per_window_zscore,ridge,ridge,P17,8.449282534009045,12.755560125421571,5.695923515424994,27.334740804502346,0.08958195089581951,1507,1
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,ridge,ridge,P17,8.449282534009045,12.755560125421571,5.695923515424994,27.334740804502346,0.08958195089581951,1507,1
GalaxyPPG,papagei,harmonized,True,per_window_zscore,linear,linear,P17,8.573478907930301,12.9609191720702,5.788858810450776,27.467370199983705,0.08825481088254811,1507,1
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,linear,linear,P17,8.573478907930301,12.9609191720702,5.788858810450776,27.467370199983705,0.08825481088254811,1507,1
