classical_run,foundation_run,n_windows,classical_MAE,foundation_MAE,oracle_MAE,oracle_gain_vs_best_single_MAE,classical_p95,foundation_p95,oracle_p95,oracle_gain_vs_best_single_p95,classical_win_rate,foundation_win_rate,tie_rate
peak_based/harmonized/NA/classical_peak,papagei/harmonized/per_window_zscore/linear,7629,7.865751282172412,11.523343736946257,5.201209041720468,2.6645422404519437,37.13194201159927,35.98306213108339,21.69226119994062,14.290800931142773,0.7238170140254293,0.2761829859745707,0.0
peak_based/harmonized/NA/classical_peak,papagei/model_faithful/per_window_zscore/ridge,7629,7.865751282172412,11.458084157698535,5.225962640066898,2.639788642105514,37.13194201159927,35.84656757499874,21.966780247513224,13.879787327485513,0.7204089657884388,0.2795910342115612,0.0
peak_based/harmonized/NA/classical_peak,papagei/harmonized/per_window_zscore/ridge,7629,7.865751282172412,11.458084157698535,5.225962640066898,2.639788642105514,37.13194201159927,35.84656757499874,21.966780247513224,13.879787327485513,0.7204089657884388,0.2795910342115612,0.0
peak_based/harmonized/NA/classical_peak,pulseppg/model_faithful/causal_running_zscore/random_forest,7629,7.865751282172412,6.860891967460598,4.485931186872664,2.3749607805879345,37.13194201159927,25.55338737326682,19.26781859557964,6.285568777687178,0.5349324944291519,0.4650675055708481,0.0
peak_based/harmonized/NA/classical_peak,pulseppg/harmonized/per_window_zscore/random_forest,7629,7.865751282172412,6.818213675386933,4.4969042060145705,2.3213094693723626,37.13194201159927,25.798420928782367,19.105090503694672,6.693330425087694,0.5245772709398349,0.47542272906016514,0.0
spectral/harmonized/NA/classical_spectral,pulseppg/model_faithful/causal_running_zscore/linear,7631,18.60326496755225,8.142237960339779,6.408545947441929,1.7336920128978504,63.011588642099994,28.16881895495938,23.4931506849,4.675668270059379,0.33809461407417113,0.6619053859258288,0.0
spectral/harmonized/NA/classical_spectral,pulseppg/model_faithful/person_specific_zscore/linear,7631,18.60326496755225,8.140313319761145,6.406908102976588,1.7334052167845568,63.011588642099994,28.18993390224375,23.48444024549844,4.705493656745311,0.33770148080199186,0.6622985191980081,0.0
spectral/harmonized/NA/classical_spectral,pulseppg/model_faithful/NA/linear,7631,18.60326496755225,8.139204041081163,6.405895503533332,1.7333085375478312,63.011588642099994,28.182873772814062,23.4931506849,4.689723087914061,0.3378325252260516,0.6621674747739483,0.0
spectral/harmonized/NA/classical_spectral,pulseppg/harmonized/per_window_zscore/linear,7631,18.60326496755225,8.139044949627655,6.406078497957051,1.7329664516706043,63.011588642099994,28.15860322939062,23.4931506849,4.66545254449062,0.33809461407417113,0.6619053859258288,0.0
spectral/harmonized/NA/classical_spectral,pulseppg/model_faithful/per_window_zscore/linear,7631,18.60326496755225,8.139044949627655,6.406078497957051,1.7329664516706043,63.011588642099994,28.15860322939062,23.4931506849,4.66545254449062,0.33809461407417113,0.6619053859258288,0.0
spectral/harmonized/NA/classical_spectral,pulseppg/model_faithful/NA/ridge,7631,18.60326496755225,8.050996927346887,6.361741181260375,1.6892557460865119,63.011588642099994,27.91278893151759,23.35384070045547,4.558948231062118,0.32905254881404794,0.670947451185952,0.0
spectral/harmonized/NA/classical_spectral,pulseppg/model_faithful/causal_running_zscore/ridge,7631,18.60326496755225,8.053343323482201,6.364170976693964,1.6891723467882374,63.011588642099994,27.941151567839064,23.341244541696483,4.599907026142581,0.3298388153584065,0.6701611846415935,0.0
spectral/harmonized/NA/classical_spectral,pulseppg/model_faithful/person_specific_zscore/ridge,7631,18.60326496755225,8.052584090634392,6.363450181754979,1.6891339088794126,63.011588642099994,27.946549002318363,23.36491102665898,4.581637975659383,0.3297077709343467,0.6702922290656532,0.0
spectral/harmonized/NA/classical_spectral,pulseppg/model_faithful/per_window_zscore/ridge,7631,18.60326496755225,8.050784000037083,6.361910463183634,1.6888735368534498,63.011588642099994,27.914928906171873,23.34773308222305,4.567195823948822,0.32931463766216745,0.6706853623378325,0.0
spectral/harmonized/NA/classical_spectral,pulseppg/harmonized/per_window_zscore/ridge,7631,18.60326496755225,8.050784000037083,6.361910463183634,1.6888735368534498,63.011588642099994,27.914928906171873,23.34773308222305,4.567195823948822,0.32931463766216745,0.6706853623378325,0.0
spectral/harmonized/NA/classical_spectral,pulseppg/model_faithful/causal_running_zscore/random_forest,7631,18.60326496755225,6.8605832864069,5.622709591887793,1.2378736945191067,63.011588642099994,25.545960351605213,20.55792242852086,4.988037923084352,0.2653649587210064,0.7346350412789936,0.0
spectral/harmonized/NA/classical_spectral,pulseppg/harmonized/per_window_zscore/random_forest,7631,18.60326496755225,6.817562368739363,5.5989283362827775,1.2186340324565856,63.011588642099994,25.79774854586492,20.613097204798677,5.1846513410662425,0.26313720351199055,0.7368627964880095,0.0
