feature_set,fold,heldout_participant,feature,coefficient,abs_coefficient
motion_quality,5,P18,acc_norm_mean,0.05971196957515906,0.05971196957515906
motion_quality,5,P18,acc_norm_std,0.1204396778587897,0.1204396778587897
motion_quality,5,P18,acc_dominant_frequency_hz,0.0018681317698607748,0.0018681317698607748
motion_quality,5,P18,acc_cadence_band_power_fraction,0.1068097200016575,0.1068097200016575
motion_quality,5,P18,ppg_amplitude_range,0.23651911967542324,0.23651911967542324
motion_quality,5,P18,ppg_clipping_rate,-0.023128213983628507,0.023128213983628507
motion_quality,5,P18,ppg_flatline_rate,0.06452254466995286,0.06452254466995286
motion_quality,5,P18,ppg_autocorr_peak_strength,-0.03850436975931712,0.03850436975931712
motion_quality,5,P18,ppg_spectral_entropy,0.039102195019246715,0.039102195019246715
motion_quality,5,P18,ppg_spectral_peak_sharpness,0.07852579569858475,0.07852579569858475
motion_quality,5,P18,beat_count_consistency,-0.03550536602462553,0.03550536602462553
motion_quality,5,P18,peak_spectral_disagreement_bpm,-0.32383165904508937,0.32383165904508937
