dataset,model_name,preprocessing_mode,inversion,normalization_strategy,probe_type,regressor_type,activity,MAE,RMSE,median_absolute_error,p95_absolute_error,catastrophic_error_rate_20bpm,n_windows,n_participants
GalaxyPPG,pulseppg,model_faithful,True,none,ridge,ridge,ssst-prep,7.952090609998589,9.691931347644172,6.907874212706254,19.990705411274103,0.05555555555555555,54,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,ridge,ridge,ssst-prep,7.955990572812355,9.69422880861373,6.937987432921091,19.983260266620782,0.05555555555555555,54,5
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,ridge,ridge,ssst-prep,7.955990572812355,9.69422880861373,6.937987432921091,19.983260266620782,0.05555555555555555,54,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,ridge,ridge,ssst-prep,7.97107791242553,9.709905838200278,6.859191046202341,20.05025626881805,0.05555555555555555,54,5
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,ridge,ridge,ssst-prep,7.973934696822231,9.708856584190553,6.9203101257921915,19.996757428486017,0.05555555555555555,54,5
GalaxyPPG,pulseppg,model_faithful,True,none,linear,linear,ssst-prep,8.014119706813911,9.780313226035801,6.894470620623828,20.1043456242868,0.05555555555555555,54,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,linear,linear,ssst-prep,8.018931947414497,9.782671780707801,6.88511316823125,20.09630004628387,0.05555555555555555,54,5
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,linear,linear,ssst-prep,8.018931947414497,9.782671780707801,6.88511316823125,20.09630004628387,0.05555555555555555,54,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,linear,linear,ssst-prep,8.033798741011683,9.798398316763759,6.8141330962097655,20.164907758075863,0.05555555555555555,54,5
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,linear,linear,ssst-prep,8.036654112557544,9.796807684260376,6.89897959279179,20.10684043629852,0.05555555555555555,54,5
GalaxyPPG,spectral,harmonized,False,NA,NA,classical_spectral,rest-1,8.065548321306451,14.662365439149054,3.424947145899999,40.199919335119965,0.12186379928315412,279,5
GalaxyPPG,spectral,harmonized,True,NA,NA,classical_spectral,rest-1,8.065548321306451,14.662365439149054,3.424947145899999,40.199919335119965,0.12186379928315412,279,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,NA,random_forest,rest-4,8.152119601830949,11.026123321590903,6.69880949252795,21.541349289698275,0.06761565836298933,281,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,NA,random_forest,rest-4,8.153353427458173,11.012219473302174,6.395026806555521,21.118497997468936,0.0711743772241993,281,5
GalaxyPPG,papagei,harmonized,False,per_window_zscore,ridge,ridge,rest-2,8.173090300937027,10.540592901399307,6.8724956378507756,19.12684679183578,0.04912280701754386,285,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,linear,linear,tsst-prep,8.18788123486931,10.080748631619187,7.3843998056671865,18.475747310933347,0.030232558139534883,430,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,linear,linear,tsst-prep,8.18788123486931,10.080748631619187,7.3843998056671865,18.475747310933347,0.030232558139534883,430,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,ridge,ridge,tsst-prep,8.209051185560364,10.0776523073079,7.375036016983202,18.081447375999062,0.02558139534883721,430,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,ridge,ridge,tsst-prep,8.209051185560364,10.0776523073079,7.375036016983202,18.081447375999062,0.02558139534883721,430,5
GalaxyPPG,papagei,harmonized,False,per_window_zscore,ridge,ridge,baseline,8.238033658774654,9.981360155694196,7.7703625457445185,16.942523392426562,0.02576112412177986,427,5
GalaxyPPG,peak_based,harmonized,True,NA,NA,classical_peak,tsst-speech,8.392563526075078,13.071743857393132,4.509777089247365,28.7156508775785,0.11954022988505747,435,5
GalaxyPPG,spectral,harmonized,False,NA,NA,classical_spectral,meditation-1,8.46433621238993,14.380645751401326,5.069930069899996,44.19284652938999,0.10612244897959183,735,5
GalaxyPPG,spectral,harmonized,True,NA,NA,classical_spectral,meditation-1,8.46433621238993,14.380645751401326,5.069930069899996,44.19284652938999,0.10612244897959183,735,5
GalaxyPPG,papagei,harmonized,False,per_window_zscore,ridge,ridge,mobile-typing,8.691467559449023,10.755002744626537,7.356829147332029,20.081300508462846,0.053488372093023255,430,5
GalaxyPPG,papagei,harmonized,False,per_window_zscore,ridge,ridge,ssst-prep,8.816318743261922,10.46846009891038,7.471975434080861,17.65415512566137,0.0,54,5
GalaxyPPG,papagei,harmonized,False,per_window_zscore,ridge,ridge,rest-1,8.848448246748994,12.186496698210407,6.770045958943754,26.57613041887709,0.07526881720430108,279,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,NA,random_forest,meditation-2,8.93524155208886,11.153762654719216,7.429860364069157,21.57460267116847,0.06703146374829001,731,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,NA,random_forest,meditation-2,8.93524155208886,11.153762654719216,7.429860364069157,21.57460267116847,0.06703146374829001,731,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,ridge,ridge,meditation-2,8.946846057733575,11.305319748710804,7.178337135517182,21.646686183657813,0.06976744186046512,731,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,ridge,ridge,meditation-2,8.946846057733575,11.305319748710804,7.178337135517182,21.646686183657813,0.06976744186046512,731,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,NA,random_forest,ssst-prep,8.982170034876908,10.342141063635227,7.879141925499283,19.773397753731505,0.05555555555555555,54,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,NA,random_forest,ssst-prep,8.982170034876908,10.342141063635227,7.879141925499283,19.773397753731505,0.05555555555555555,54,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,linear,linear,meditation-2,9.035478784683411,11.379620633834817,7.537149772339063,21.901187334715623,0.07523939808481532,731,5
